id,檔名,頁數,網址,圖寬,圖高
161,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,01,http://pic.pimg.tw/ronnywang/1399390850-307809988.jpg,7015,4960
1,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,02,http://pic.pimg.tw/ronnywang/1399390965-1788524930.jpg,7015,4960
2,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,03,http://pic.pimg.tw/ronnywang/1399390886-4164320197.jpg,7015,4960
3,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,04,http://pic.pimg.tw/ronnywang/1399391029-2624322200.jpg,7015,4960
4,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,05,http://pic.pimg.tw/ronnywang/1399390371-1036153557.jpg,7015,4960
5,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,06,http://pic.pimg.tw/ronnywang/1399390184-3914961037.jpg,7015,4960
6,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,07,http://pic.pimg.tw/ronnywang/1399390209-693098397.jpg?v=1399390215,7015,4960
7,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,08,http://pic.pimg.tw/ronnywang/1399390960-3830132924.jpg,7015,4960
8,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,09,http://pic.pimg.tw/ronnywang/1399391007-2389382920.jpg,7015,4960
9,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,10,http://pic.pimg.tw/ronnywang/1399390490-865040263.jpg,7015,4960
10,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,11,http://pic.pimg.tw/ronnywang/1399390785-2909637489.jpg,7015,4960
11,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-收入-099/05/24-099/12/21,12,http://pic.pimg.tw/ronnywang/1399390540-1468749777.jpg,7015,4960
12,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,01,http://pic.pimg.tw/ronnywang/1399390708-2915540546.jpg,7015,4960
13,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,02,http://pic.pimg.tw/ronnywang/1399390540-3533195492.jpg?v=1399390548,7015,4960
14,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,03,http://pic.pimg.tw/ronnywang/1399390105-2631223046.jpg,7015,4960
15,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,04,http://pic.pimg.tw/ronnywang/1399391058-3026042896.jpg?v=1399391063,7015,4960
16,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,05,http://pic.pimg.tw/ronnywang/1399390824-148877280.jpg,7015,4960
17,第11屆臺北市議員擬參選人厲耿桂芳政治獻金專戶-支出-099/05/18-099/08/31,06,http://pic.pimg.tw/ronnywang/1399391009-3717466165.jpg,7015,4960
