檔名,頁碼,網址
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,0,http://pic.pimg.tw/ronnywang/1402364851-3816577079.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,1,http://pic.pimg.tw/ronnywang/1402364858-1899818632.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,2,http://pic.pimg.tw/ronnywang/1402364866-998897421.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,3,http://pic.pimg.tw/ronnywang/1402364874-1819990640.png?v=1402364881
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,4,http://pic.pimg.tw/ronnywang/1402364883-1252769521.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,5,http://pic.pimg.tw/ronnywang/1402364891-3376834618.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,6,http://pic.pimg.tw/ronnywang/1402364898-2267424309.png?v=1402364904
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,7,http://pic.pimg.tw/ronnywang/1402364905-3551441921.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,8,http://pic.pimg.tw/ronnywang/1402364913-738118418.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,0,http://pic.pimg.tw/ronnywang/1402364955-3708061584.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,1,http://pic.pimg.tw/ronnywang/1402364963-2016633279.png?v=1402364970
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,2,http://pic.pimg.tw/ronnywang/1402364971-2621094985.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,3,http://pic.pimg.tw/ronnywang/1402365002-2335600054.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,4,http://pic.pimg.tw/ronnywang/1402365009-2823391320.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,5,http://pic.pimg.tw/ronnywang/1402365018-1356616231.png?v=1402365025
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,6,http://pic.pimg.tw/ronnywang/1402365026-516123163.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,7,http://pic.pimg.tw/ronnywang/1402365034-2381514130.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,8,http://pic.pimg.tw/ronnywang/1402365042-2416763349.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,0,http://pic.pimg.tw/ronnywang/1402365083-1380387494.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,1,http://pic.pimg.tw/ronnywang/1402365091-4140649350.png?v=1402365097
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,2,http://pic.pimg.tw/ronnywang/1402365098-2613452281.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,3,http://pic.pimg.tw/ronnywang/1402365105-4013354639.png?v=1402365112
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,4,http://pic.pimg.tw/ronnywang/1402365115-1659080981.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,5,http://pic.pimg.tw/ronnywang/1402365124-2958490069.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,6,http://pic.pimg.tw/ronnywang/1402365132-2435003159.png?v=1402365139
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,0,http://pic.pimg.tw/ronnywang/1402365190-924809084.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,1,http://pic.pimg.tw/ronnywang/1402365199-870496904.png?v=1402365208
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,2,http://pic.pimg.tw/ronnywang/1402365209-2037525466.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,3,http://pic.pimg.tw/ronnywang/1402365219-1940248301.png
