id,檔名,頁數,網址,圖寬,圖高
2,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,1,http://pic.pimg.tw/ronnywang/1402364851-3816577079.png,2078,1469
3,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,2,http://pic.pimg.tw/ronnywang/1402364858-1899818632.png,2081,1468
4,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,3,http://pic.pimg.tw/ronnywang/1402364866-998897421.png,2084,1473
5,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,4,http://pic.pimg.tw/ronnywang/1402364874-1819990640.png?v=1402364881,2084,1475
6,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,5,http://pic.pimg.tw/ronnywang/1402364883-1252769521.png,2084,1475
7,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,6,http://pic.pimg.tw/ronnywang/1402364891-3376834618.png,2087,1480
8,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,7,http://pic.pimg.tw/ronnywang/1402364898-2267424309.png?v=1402364904,2087,1370
9,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,8,http://pic.pimg.tw/ronnywang/1402364905-3551441921.png,2086,1480
10,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,9,http://pic.pimg.tw/ronnywang/1402364913-738118418.png,2091,1484
11,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,10,http://pic.pimg.tw/ronnywang/1402364955-3708061584.png,2091,1477
12,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,11,http://pic.pimg.tw/ronnywang/1402364963-2016633279.png?v=1402364970,2094,1482
13,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,12,http://pic.pimg.tw/ronnywang/1402364971-2621094985.png,2086,1480
14,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,13,http://pic.pimg.tw/ronnywang/1402365002-2335600054.png,2088,1472
15,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,14,http://pic.pimg.tw/ronnywang/1402365009-2823391320.png,2091,1478
16,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,15,http://pic.pimg.tw/ronnywang/1402365018-1356616231.png?v=1402365025,2086,1473
17,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,16,http://pic.pimg.tw/ronnywang/1402365026-516123163.png,2084,1464
18,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,17,http://pic.pimg.tw/ronnywang/1402365034-2381514130.png,2092,1468
19,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,18,http://pic.pimg.tw/ronnywang/1402365042-2416763349.png,2086,1464
20,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,19,http://pic.pimg.tw/ronnywang/1402365083-1380387494.png,2075,1469
21,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,20,http://pic.pimg.tw/ronnywang/1402365091-4140649350.png?v=1402365097,2089,1470
22,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,21,http://pic.pimg.tw/ronnywang/1402365098-2613452281.png,2086,1469
23,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,22,http://pic.pimg.tw/ronnywang/1402365105-4013354639.png?v=1402365112,2087,1477
24,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,23,http://pic.pimg.tw/ronnywang/1402365115-1659080981.png,2089,1478
25,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,24,http://pic.pimg.tw/ronnywang/1402365124-2958490069.png,2085,1479
26,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/09/03-099/05/23,25,http://pic.pimg.tw/ronnywang/1402365132-2435003159.png?v=1402365139,2090,1482
27,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/10/05-099/09/04,1,http://pic.pimg.tw/ronnywang/1402365190-924809084.png,2082,1469
28,第1屆高雄市市長擬參選人陳菊政治獻金專戶-支出收入-099/10/05-099/09/04,2,http://pic.pimg.tw/ronnywang/1402365199-870496904.png?v=1402365208,2085,1469
