檔名,頁數,位置,網址,切割圖檔
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,0,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-0.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,1,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-1.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,2,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-2.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,3,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-3.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,4,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-4.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,5,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-5.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,6,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-6.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,7,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-7.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-01.jpg,,8,http://pic.pimg.tw/ronnywang/1399905599-3016787728.jpg,570792690-8.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,0,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-0.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,1,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-1.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,2,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-2.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,3,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-3.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,4,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-4.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,5,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-5.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,6,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-6.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,7,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-7.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-02.jpg,,8,http://pic.pimg.tw/ronnywang/1399905732-667973391.jpg,4171317625-8.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,0,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-0.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,1,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-1.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,2,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-2.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,3,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-3.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,4,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-4.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,5,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-5.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100701-03.jpg,,6,http://pic.pimg.tw/ronnywang/1399905299-3729246117.jpg,4053620851-6.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,,0,http://pic.pimg.tw/ronnywang/1399905503-4187608562.jpg?v=1399905512,2448457237-0.png
./第1屆高雄市市長擬參選人陳菊政治獻金專戶/30100702-01.jpg,,1,http://pic.pimg.tw/ronnywang/1399905503-4187608562.jpg?v=1399905512,2448457237-1.png
