id,檔名,頁數,網址,圖寬,圖高
1,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,1,http://ext.pimg.tw/ronnywang/1402976662-1162712727_l.png,2098,1472
2,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,2,http://ext.pimg.tw/ronnywang/1402976671-1010591441_l.png,2099,1473
3,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,3,http://ext.pimg.tw/ronnywang/1402976681-3810168673_l.png,2088,1471
4,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,4,http://ext.pimg.tw/ronnywang/1402976960-911050036_l.png,2103,1482
5,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,5,http://ext.pimg.tw/ronnywang/1402976975-1580736315_l.png,2101,1478
6,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,6,http://ext.pimg.tw/ronnywang/1402976984-861035903_l.png,2092,1483
7,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,7,http://ext.pimg.tw/ronnywang/1402976992-3809666665_l.png,2101,1486
8,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,8,http://ext.pimg.tw/ronnywang/1402977001-640251587_l.png,2100,1482
9,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,9,http://ext.pimg.tw/ronnywang/1402977009-3864404858_l.png,2096,1487
10,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,10,http://ext.pimg.tw/ronnywang/1402977050-2076934154_l.png,2095,1477
11,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,11,http://ext.pimg.tw/ronnywang/1402977057-4209747738_l.png?v=1402977064,2089,1479
12,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,12,http://ext.pimg.tw/ronnywang/1402977065-756446123_l.png,2084,1476
13,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,13,http://ext.pimg.tw/ronnywang/1402977073-926400045_l.png,2095,1474
14,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,14,http://ext.pimg.tw/ronnywang/1402977081-1243706808_l.png?v=1402977089,2091,1475
15,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,15,http://ext.pimg.tw/ronnywang/1402977093-1277609956_l.png?v=1402977100,2087,1478
16,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,16,http://ext.pimg.tw/ronnywang/1402977101-2358294002_l.png?v=1402977107,2093,1465
17,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,17,http://ext.pimg.tw/ronnywang/1402977109-3567812302_l.png,2094,1466
18,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,18,http://ext.pimg.tw/ronnywang/1402977117-866270049_l.png,2091,1469
19,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,19,http://ext.pimg.tw/ronnywang/1402977158-4180326755_l.png?v=1402977165,2098,1474
20,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,20,http://ext.pimg.tw/ronnywang/1402977166-86525663_l.png,2094,1476
21,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,21,http://ext.pimg.tw/ronnywang/1402977174-2981890148_l.png,2091,1472
22,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,22,http://ext.pimg.tw/ronnywang/1402977181-1353793322_l.png,2102,1482
23,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,23,http://ext.pimg.tw/ronnywang/1402977189-1707562938_l.png,2096,1481
24,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,24,http://ext.pimg.tw/ronnywang/1402977197-2095616645_l.png,2104,1488
25,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/18-099/06/11,25,http://ext.pimg.tw/ronnywang/1402977205-1541206919_l.png?v=1402977212,2095,1483
26,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,1,http://ext.pimg.tw/ronnywang/1402977246-1991379879_l.png,2097,1474
27,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,2,http://ext.pimg.tw/ronnywang/1402977254-119412128_l.png,2094,1474
28,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,3,http://ext.pimg.tw/ronnywang/1402977261-1353385608_l.png,2088,1472
29,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,4,http://ext.pimg.tw/ronnywang/1402977270-1732028011_l.png,2103,1483
30,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,5,http://ext.pimg.tw/ronnywang/1402977279-354084075_l.png?v=1402977285,2098,1481
31,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,6,http://ext.pimg.tw/ronnywang/1402977286-536249091_l.png,2096,1482
32,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,7,http://ext.pimg.tw/ronnywang/1402977294-4146691326_l.png,2103,1485
33,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,8,http://ext.pimg.tw/ronnywang/1402977301-3921675910_l.png,2099,1483
34,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,9,http://ext.pimg.tw/ronnywang/1402977309-3417542834_l.png,2096,1486
35,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,10,http://ext.pimg.tw/ronnywang/1402977352-1737377536_l.png,2098,1480
36,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,11,http://ext.pimg.tw/ronnywang/1402977361-1059762312_l.png,2089,1481
37,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,12,http://ext.pimg.tw/ronnywang/1402977373-2980065493_l.png?v=1402977380,2090,1477
38,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,13,http://ext.pimg.tw/ronnywang/1402977381-1605381558_l.png?v=1402977388,2096,1475
39,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,14,http://ext.pimg.tw/ronnywang/1402977389-1718670649_l.png,2090,1475
40,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,15,http://ext.pimg.tw/ronnywang/1402977399-1475002664_l.png,2091,1474
41,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,16,http://ext.pimg.tw/ronnywang/1402977406-1376638537_l.png,2093,1466
42,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,17,http://ext.pimg.tw/ronnywang/1402977413-397605876_l.png,2090,1467
43,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,18,http://ext.pimg.tw/ronnywang/1402977607-1730284356_l.png,2089,1471
44,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,19,http://ext.pimg.tw/ronnywang/1402977646-819967887_l.png?v=1402977653,2097,1473
45,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,20,http://ext.pimg.tw/ronnywang/1402977654-3049788971_l.png,2096,1474
46,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,21,http://ext.pimg.tw/ronnywang/1402977662-1472341042_l.png,2085,1475
47,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,22,http://ext.pimg.tw/ronnywang/1402977670-4160119767_l.png,2104,1482
48,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,23,http://ext.pimg.tw/ronnywang/1402977677-511093965_l.png?v=1402977683,2100,1478
49,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,24,http://ext.pimg.tw/ronnywang/1402977684-3631493073_l.png?v=1402977692,2101,1484
50,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/08/31-099/08/19,25,http://ext.pimg.tw/ronnywang/1402977693-724565782_l.png?v=1402977709,2099,1481
51,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/09/10-099/08/31,1,http://ext.pimg.tw/ronnywang/1402977752-1042681213_l.png,2090,1472
52,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/09/10-099/08/31,2,http://ext.pimg.tw/ronnywang/1402977759-714938361_l.png,2095,1471
53,第5屆臺北市市長擬參選人蘇貞昌政治獻金專戶-收入支出-099/09/10-099/08/31,3,http://ext.pimg.tw/ronnywang/1402977768-948443246_l.png,2082,1476
